tbs,vbs,abs,dsi,delta,scenario
0.4447035257188816,0.42283148925903047,0.40949794349759366,0.4256776528251686,-0.02187203645985114,honest
0.1904143643875695,0.18062327357076918,0.26143252693144275,0.21082338829659383,0.07101816254387325,honest
0.6016992671741717,0.5329504588241474,0.6278829946107665,0.5875109068696952,0.026183727436594806,honest
0.737188023708165,0.7341366093610475,0.7342945636256808,0.7352063988982979,-0.002893460082484256,honest
0.345869437530854,0.3365882962318418,0.32251670838743435,0.33499148071671003,-0.009281141299012197,honest
0.5534317018431077,0.5686967806314254,0.5761185001072727,0.5660823275272686,0.022686798264164976,honest
0.49337358351293015,0.4348233655894647,0.46627943121498994,0.4648254601057949,-0.02709415229794021,honest
0.5285766963616337,0.5846861402797778,0.5409840674583631,0.5514156346999249,0.0561094439181441,honest
0.19692982811355697,0.19860447769567957,0.18288100919986974,0.1928051050030354,0.0016746495821226004,honest
0.3034582267393349,0.3621143179899122,0.3377062647126567,0.33442626981396795,0.0586560912505773,honest
0.19714827888695008,0.1510694399873449,0.23856262808370127,0.19559344898599873,0.04141434919675119,honest
0.3232762137154117,0.2881950928889546,0.3090307873977946,0.3068340313340536,-0.014245426317617105,honest
0.5058536690271764,0.5843266862510796,0.5648815058107353,0.5516872870296637,0.07847301722390321,honest
0.8910818882941162,0.8613891511324598,0.8937865767536629,0.8820858720600797,0.0027046884595467446,honest
0.14039228788345012,0.1253167305325894,0.15332703471786202,0.13967868437796718,0.012934746834411898,honest
0.3880767349289752,0.44381558266677856,0.3966171644209445,0.4095031606722328,0.055738847737803354,honest
0.3290172160657295,0.2888400302473809,0.3549673058253086,0.3242748507128064,0.02595008975957913,honest
0.2083292086038684,0.18686499187348243,0.12951208309723392,0.17490209452486158,-0.021464216730385954,honest
0.13596383654436534,0.12510342808364364,0.12731841050298065,0.12946189171032987,-0.008645426041384685,honest
0.6744207425221657,0.7028628502031838,0.6786031833012696,0.685295592008873,0.02844210768101818,honest
0.8028125533832307,0.7735725431857398,0.7468385757290772,0.7744078907660158,-0.029240010197490895,honest
